title,url,brand,line,size,box_qty,price,in_stock
"Illusione Original Documents Lancero (6.7"""" x 48)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fillusione%2Fillusione-original-documents%2FIL1-PM.html,Illusione,"""Illusione Original Documents","6.7"" x 48",20,264.99,False
"JFR Lunatic Maduro Super Toro (6.5"""" x 60)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Faganorsa%2Fj.f.r.-lunatic-maduro%2FCFN-PM.html,JFR,"""JFR Lunatic Maduro Super","6.5"" x 60",20,264.99,True
"Caldwell Collection - Eastern Standard [CT] Euro Express (5.5"""" x 44)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcaldwell%2Fcaldwell-collection---eastern-standard%2FCW1-PM.html,Caldwell,"""Caldwell Collection - Eastern Standard [CT] Euro Express","5.5"" x 44",20,265.99,False
"Illusione Original Documents Double Corona (7.5"""" x 50)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fillusione%2Fillusione-original-documents%2FIL1-PM.html,Illusione,"""Illusione Original Documents","7.5"" x 50",20,266.62,False
"Montecristo Classic Especial No. 3 (5.5"""" x 44)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmontecristo%2Fmontecristo-classic%2FMTC-PM.html,Montecristo,"""Montecristo Classic Especial No. 3","5.5"" x 44",20,266.99,True
"My Father No. 5 (6.0"""" x 56)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmy-father%2Fmy-father%2FMFB-PM.html,My Father,"""My Father No. 5","6.0"" x 56",20,267.99,True
"Romeo y Julieta Reserva Real #2 (6.1"""" x 52)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fromeo-y-julieta%2Fromeo-y-julieta-reserva-real%2FRFA-PM.html,Romeo y Julieta,"""Romeo y Julieta Reserva Real #2","6.1"" x 52",20,267.99,True
"Aging Room Quattro Nicaraguan Espressivo (5.0"""" x 50)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Faging-room-cigars%2Faging-room-quattro-nicaraguan%2FBBT-PM.html,Aging Room,"""Aging Room Quattro Nicaraguan Espressivo","5.0"" x 50",20,267.99,True
"Illusione Fume D'Amour Capistranos (6.0"""" x 56)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fillusione%2Fillusione-fume-d%27amour%2FILE-PM.html,Illusione,"""Illusione Fume D'Amour Capistranos","6.0"" x 56",20,268.99,True
"Room101 FARCE Connecticut Super Toro (6.0"""" x 56)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Froom101-cigars%2Ffarce-connecticut%2FRMB-PM.html,Room101,"""Room101 FARCE Connecticut Super","6.0"" x 56",20,269.99,True
