brand,title,box_qty,price,url
RoMa Craft Tabac,RoMa Craft Whiskey Rebellion - Box of 24,24,208.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Froma-craft-intemperance-whiskey-rebellion-1794-cigar%2F2056099%2F%23p-2056097
E.P. Carrillo,Encore by E.P. Carrillo - Box of 20,20,245.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fep-carrillo-encore-majestic%2F2044921%2F%23p-2057377
ACID,ACID Opulence 3 - Pack of 25,25,214.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Facid-opulence-3-toro-parejo-pack-of-25-cigar%2F2051841%2F%23p-2057371
Aladino,Aladino Classic - Box of 20 Gordo,20,208.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Faladino-classic-cigar%2F2058422%2F%23p-2058421
Aladino,Aladino Classic - Box of 20 Robusto,20,183.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Faladino-classic-cigar%2F2058422%2F%23p-2058418
La Aurora,La Aurora Family Creed Fuerte Sol - Box of 20 Toro BP,20,324.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fla-aurora-family-creed-fuerte-sol-cigars%2F2058229%2F%23p-2058224
La Aurora,La Aurora Family Creed Fuerte Sol - Box of 20 Robusto BP,20,279.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fla-aurora-family-creed-fuerte-sol-cigars%2F2058229%2F%23p-2058223
La Aurora,La Aurora Family Creed Fuerte Sol - Box of 20 Gran Toro BP,20,333.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fla-aurora-family-creed-fuerte-sol-cigars%2F2058229%2F%23p-2058225
Caldwell,Caldwell Cigar Co Blind Mans Bluff Connecticut Sweet Tip - Box of 20 Robusto,20,175.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcaldwell-blind-mans-bluff-connecticut-sweet-tip-cigars%2F2058417%2F%23p-2058410
Caldwell,Caldwell Cigar Co Blind Mans Bluff Connecticut Sweet Tip - Box of 20 Toro,20,193.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcaldwell-blind-mans-bluff-connecticut-sweet-tip-cigars%2F2058417%2F%23p-2058411
Caldwell,Caldwell Cigar Co Blind Mans Bluff Connecticut Sweet Tip - Box of 20 Magnum,20,211.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcaldwell-blind-mans-bluff-connecticut-sweet-tip-cigars%2F2058417%2F%23p-2058412
Caldwell,Caldwell Cigar Co Blind Mans Bluff Maduro Sweet Tip - Box of 20 Magnum,20,211.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcaldwell-blind-mans-bluff-maduro-sweet-tip-cigars%2F2058413%2F%23p-2058414
Caldwell,Caldwell Cigar Co Blind Mans Bluff Maduro Sweet Tip - Box of 20 Toro,20,193.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcaldwell-blind-mans-bluff-maduro-sweet-tip-cigars%2F2058413%2F%23p-2058415
Caldwell,Caldwell Cigar Co Blind Mans Bluff Maduro Sweet Tip - Box of 20 Robusto,20,175.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcaldwell-blind-mans-bluff-maduro-sweet-tip-cigars%2F2058413%2F%23p-2058416
