retailer,url,name,price,brand,line,vitola,wrapper,ring_gauge,length,availability,platform,tier,brand_source,scraped_at
Fox Cigar,https://foxcigar.com/shop/kits/luxury-on-a-budget/smokin-blues-kit/,Smokin’ Blues Kit,48.34,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:33.788686
Fox Cigar,https://foxcigar.com/shop/cigars/arturo-fuente/opus-x/ffox-heaven-and-earth-bbmf-maduro/,FFOX “Heaven and Earth” BBMF Maduro,969.0,Unknown,,Unknown,Maduro,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:36.354488
Fox Cigar,https://foxcigar.com/shop/cigars/henry-clay/henry-clay-war-hawk-robusto/,Henry Clay War Hawk Robusto,9.38,Unknown,,Robusto,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:07:38.822272
Fox Cigar,https://foxcigar.com/shop/accessories/lighters/line-2-lighter-gold-dragon-scales/,S.T. Dupont Line 2 Lighter Gold Dragon Scales – C16630,1595.0,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:40.815775
Fox Cigar,https://foxcigar.com/shop/cigars/tatuaje/tatuaje-havana-vi-verocu-no-1/,Tatuaje Havana VI Verocu No. 1,11.0,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:07:43.539921
Fox Cigar,https://foxcigar.com/shop/cigars/infused/trader-jacks-midnight-cigars-aargh-jar/,Trader Jack’s Midnight Cigars Aargh Jar,78.6,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:46.095630
Fox Cigar,https://foxcigar.com/shop/cigars/black-label-trading-co/black-label-trading-co-eletto-corona-gorda/,Black Label Trading Co. Eletto Corona Gorda,12.4,Unknown,,Corona,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:48.457857
Fox Cigar,https://foxcigar.com/shop/cigars/perdomo/perdomo-30th-connecticut-gordo/,Perdomo 30th Connecticut Gordo,14.0,Perdomo,Small Batch Maduro,Unknown,Connecticut,,,In Stock,WooCommerce,1,master_exact,2025-10-26T20:07:50.741678
Fox Cigar,https://foxcigar.com/shop/cigars/leaf-by-oscar/10th-anniversary-criollo/leaf-10th-anniversary-criollo-sixty/,Leaf By Oscar 10th Anniversary Criollo Sixty,13.38,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:52.696647
Fox Cigar,https://foxcigar.com/shop/cigars/perdomo/perdomo-10th-champagne-super-toro/,Perdomo 10th Anniversary Champagne Super Toro,11.75,Perdomo,,Toro,Unknown,,,In Stock,WooCommerce,1,priority_variation,2025-10-26T20:07:55.372266
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/deadwood-tasting-kit/,Deadwood Tasting Kit,54.75,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:58.273178
